Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
32610,0,-0.22,0.34,10.065,0.129,0.014,0,0
32660,0,-0.22,0.00,10.017,0.163,0.077,0,0
32712,0,-0.24,0.36,10.027,0.115,0.086,0,0
32763,0,-0.27,-1.01,10.080,0.110,0.029,0,0
32815,0,-0.26,0.00,10.027,0.110,-0.014,0,0
32866,0,-0.28,-1.04,10.036,0.110,0.053,0,0
32919,0,-0.26,0.00,10.041,0.077,0.000,0,0
32969,0,-0.26,0.93,10.060,0.091,0.057,0,0
33020,0,-0.27,-0.56,10.056,0.096,-0.014,0,0
33070,0,-0.25,0.00,10.022,0.163,-0.019,0,0
33120,0,-0.23,0.93,10.027,0.134,0.034,0,0
33172,0,-0.24,-0.56,10.032,0.086,0.067,0,0
33223,0,-0.26,0.00,10.041,0.048,0.043,0,0
33275,0,-0.22,0.00,10.104,0.062,0.053,0,0
33326,0,-0.22,0.00,10.017,0.091,0.134,0,0
33378,0,-0.21,-0.97,10.008,0.091,0.081,0,0
33430,0,-0.21,0.00,10.046,0.101,0.067,0,0
33481,0,-0.21,0.00,10.032,0.139,0.091,0,0
33533,0,-0.19,1.34,10.027,0.077,0.105,0,0
33584,0,-0.20,0.00,10.113,0.014,0.077,0,0
33636,0,-0.19,0.00,10.190,-0.067,0.407,0,0
33688,0,-0.17,0.48,9.965,0.053,0.302,0,0
33738,0,-0.17,0.00,9.955,0.206,0.211,0,0
33789,0,-0.16,0.00,10.013,0.215,0.101,0,0
33841,0,-0.17,0.00,10.099,0.110,0.148,0,0
33893,0,-0.17,0.00,10.065,0.081,0.326,0,0
33943,0,-0.19,0.00,10.065,0.067,0.235,0,0
33993,0,-0.20,0.00,10.070,0.163,0.206,0,0
34044,0,-0.22,-0.56,10.046,0.120,0.134,0,0
34094,0,-0.23,0.00,10.094,0.220,0.081,0,0
34146,0,-0.24,-0.56,10.013,0.086,0.330,0,0
34198,0,-0.22,0.89,9.984,0.153,0.364,0,0
34250,0,-0.25,0.00,10.108,0.177,0.158,0,0
34314,0,-0.25,0.00,9.984,0.096,0.311,0,0
34364,0,-0.25,0.00,9.998,0.067,0.263,0,0
34415,0,-0.23,0.00,10.065,0.048,0.124,0,0
34467,0,-0.24,0.00,10.036,0.067,0.139,0,0
34519,0,-0.23,-0.52,10.003,0.043,0.283,0,0
34570,0,-0.25,-0.52,10.075,0.105,0.278,0,0
34622,0,-0.21,0.00,10.080,0.038,0.283,0,0
34673,0,-0.21,-1.01,10.051,-0.029,0.330,0,0
